"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782217967230652447","Mon Apr 22 01:20:50 +0000 2024","0","Pelayanan kesehatan masyarakat RSUD MAJENANG RAWAT JALAN PINDAH KE GEDUNG E #PelayananKesehatan #rsud #rsudmajenang https://t.co/uS2H0qk7ut","1782217967230652447","https://pbs.twimg.com/ext_tw_video_thumb/1782217909592625152/pu/img/2AFgY6w_ANMFHmp7.jpg","","in","","0","0","0","https://x.com/MajenangRsud/status/1782217967230652447","1179243007595253760","MajenangRsud"
"1770805289719120155","Thu Mar 21 13:30:55 +0000 2024","0","Pemerintah terus mengupayakan agar masyarakat Papua mendapatkan pelayanan kesehatan secara optimal. #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/EoguPqS4MJ","1770805289719120155","https://pbs.twimg.com/ext_tw_video_thumb/1770805267380293633/pu/img/_so3XtZ5aKwLvHWy.jpg","","in","","0","0","0","https://x.com/SuciKusmawati3/status/1770805289719120155","1620325346116788226","SuciKusmawati3"
"1792773446382067859","Tue May 21 04:24:32 +0000 2024","1","Dengan mengetahui lebih banyak tentang kondisi mata ptosis Anda bisa lebih cepat memahami dan mengambil tindakan yang tepat untuk kondisi kesehatan mata Anda. #SultanAgungEyeCenter #Ptosis #KesehatanMata #MataSehat #InformasiKesehatan #PelayananKesehatan https://t.co/PL10fcrP63","1792773446382067859","https://pbs.twimg.com/ext_tw_video_thumb/1792770607261876224/pu/img/4Qv1x4nLbTKv6DoT.jpg","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/sec_sultanagung/status/1792773446382067859","1090794049886285825","sec_sultanagung"
"1736274106063196382","Sun Dec 17 06:36:19 +0000 2023","0","ADA KABAR APA? Hai Jasfren seminggu ini ada 4 giat Pelayanan Kesehatan Gratis Jasa Raharja diman aja ya? Cek feed Jasfeen #jasaraharjajambi #pelayanankesehatan kesehatangratis https://t.co/mjyARlTGIX","1736274106063196382","https://pbs.twimg.com/ext_tw_video_thumb/1736274038463557632/pu/img/XCYzJVCOd11dOhkQ.jpg","","in","Jambi, Indonesia","0","0","0","https://x.com/jr_jambi21/status/1736274106063196382","706691750073491456","jr_jambi21"
"1781970702641319996","Sun Apr 21 08:58:17 +0000 2024","0","Selain berperan dalam menjaga keamanan di wilayah Papua pasukan TNI-Polri juga berupaya memberikan pelayanan serta penyuluhan kesehatan hingga ke pelosok wilayah. #Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/DsXItkhmT0","1781970702641319996","https://pbs.twimg.com/ext_tw_video_thumb/1781970689693536256/pu/img/5LCZPc7eDv0eeGV2.jpg","","in","","0","0","0","https://x.com/SuciKusmawati3/status/1781970702641319996","1620325346116788226","SuciKusmawati3"
"1781936807300694499","Sun Apr 21 06:43:36 +0000 2024","0","#Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/Qj8U6zHnCu","1781936807300694499","https://pbs.twimg.com/media/GLq2FTqbwAACZ4s.jpg","","qme","Bangka Belitung, Indonesia","0","0","0","https://x.com/mex_ava/status/1781936807300694499","1709379595924041728","mex_ava"
"1781936749138350333","Sun Apr 21 06:43:22 +0000 2024","0","#Papua #PelayananKesehatan #PapuaNKRI #KesehatanPapua #PapuaMaju https://t.co/o4GvsxrEVd","1781936749138350333","https://pbs.twimg.com/media/GLq2B5paEAAq4L3.jpg","","qme","Bangka Belitung, Indonesia","0","0","0","https://x.com/mex_ava/status/1781936749138350333","1709379595924041728","mex_ava"
"1770672672890032557","Thu Mar 21 04:43:57 +0000 2024","0","#KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/ZnuSLFUNZp","1770672672890032557","https://pbs.twimg.com/media/GJKxaXAbUAAcNeQ.jpg","","qme","","0","0","0","https://x.com/rdesi1025/status/1770672672890032557","1698581560369479680","rdesi1025"
"1770719094641164725","Thu Mar 21 07:48:25 +0000 2024","0","#KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/CgDmAA2RYo","1770719094641164725","https://pbs.twimg.com/media/GJLbnjuWMAAjJ94.jpg","","qme","Bangka Belitung, Indonesia","0","0","0","https://x.com/mex_ava/status/1770719094641164725","1709379595924041728","mex_ava"
"1770747048968523864","Thu Mar 21 09:39:30 +0000 2024","1","PAPUA NKRI #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/WyzKHMIRlb","1770747048968523864","https://pbs.twimg.com/media/GJL1DiGWUAEAMXe.jpg","","tl","Palembang, South Sumatra","0","0","0","https://x.com/pumopumi1/status/1770747048968523864","1566457067212513280","pumopumi1"
"1770747473482371341","Thu Mar 21 09:41:11 +0000 2024","1","PRAJURIT TNI SELALU MEMBERSAMAI MASYARAKAT #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/6cZyXAl6mX","1770747473482371341","https://pbs.twimg.com/media/GJL1cTdXUAECo49.jpg","","in","Palembang, South Sumatra","0","0","0","https://x.com/pumopumi1/status/1770747473482371341","1566457067212513280","pumopumi1"
"1770723554369085930","Thu Mar 21 08:06:08 +0000 2024","1","Selalu pastikan kesehatan masyarakat Papua #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/tKmoUIAbeQ","1770723554369085930","https://pbs.twimg.com/media/GJLfrNyWsAAO00e.jpg","","in","Bengkulu, Indonesia","0","0","0","https://x.com/wiwo_oppo/status/1770723554369085930","1564561115505258497","wiwo_oppo"
"1770700381468729596","Thu Mar 21 06:34:03 +0000 2024","0","TNI selalu membersamai masyarakat Papua #KesehatanPapua #PapuaSejahtera #PelayananKesehatan #PapuaNKRI https://t.co/pSBOMSjXfX","1770700381468729596","https://pbs.twimg.com/media/GJLKlrmawAAwgF3.jpg","","in","Bandung, Jawa Barat","0","0","0","https://x.com/DavinaDeema/status/1770700381468729596","1564460689615638529","DavinaDeema"
