"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1718892708247515286","Mon Oct 30 07:28:51 +0000 2023","4","Terima kasih #puskesmas Kemalang terima kasih #kemenkes #bpjskesehatan @jalinmerapi https://t.co/Z0AwJzmHnj","1718892708247515286","https://pbs.twimg.com/media/F9q7u3CbsAAZiwL.jpg","","in","Klaten Jawa Tengah INDONESIA","0","0","1","https://x.com/SukimanMerapi/status/1718892708247515286","2359072016","SukimanMerapi"
"1729341153819164785","Tue Nov 28 03:27:15 +0000 2023","27","SEMOGA FASILITAS DI INDONESIA MERATA YA! Viral video yang memperlihatkan beberapa warga membawa wanita yang hendak melahirkan dengan sebuah tandu darurat di Pasaman Barat Sumatera Barat. Namun sebelum sampai tujuan wanita itu melahirkan anaknya. #detikSumut #Puskesmas #Sumbar https://t.co/joCDePOA0e","1729341153819164785","https://pbs.twimg.com/ext_tw_video_thumb/1729340834670333952/pu/img/WjoJTcI_ZU9dejIC.jpg","","in","","1","12","12","https://x.com/detiksumut_/status/1729341153819164785","1613441633735020545","detiksumut_"
"1750604442951651688","Thu Jan 25 19:39:58 +0000 2024","243","Viral Seorang Adik Pertanyakan Rekam Media Abangnya #viral #viralvideo #fypdong #fypgakni #rumahsakit #puskesmas https://t.co/MGprqKUdPi","1750604442951651688","https://pbs.twimg.com/amplify_video_thumb/1750603980848136192/img/aHXsLhMEcMwtLM7D.jpg","","in","","10","23","123","https://x.com/SahabatAKost/status/1750604442951651688","1499316268972658689","SahabatAKost"
"1750020604135399499","Wed Jan 24 05:00:00 +0000 2024","2","Pegawai puskesmas Tanjung Marula Tebingtinggi Sumatra Utara (Sumut) viral lantaran menolak melayani pasien yang tak membawa kartu BPJS Kesehatan dicopot dari jabatannya. Saat ini pegawai perempuan tersebut dalam pembinaan. MYF #BPJS #Puskesmas https://t.co/ePHe2TZdC4","1750020604135399499","https://pbs.twimg.com/media/GEkvt-8bAAAhPc1.jpg","","in","iNews Tower Jakarta","1","0","0","https://x.com/SeputariNews/status/1750020604135399499","375995332","SeputariNews"
"1700686873834967313","Sun Sep 10 01:45:22 +0000 2023","0","Semua orang perlu bersiap menghadapi bencana alam termasuk gempa bumi. Beberapa waktu lalu kami melakukan simulasi bencana gempa bumi di Puskesmas Suranadi. Tetap waspada dan bersiaplah dengan baik! . #simulasibencana #puskesmas #suranadi #bencanaalam #persiapanbencana https://t.co/OQDKof9pef","1700686873834967313","https://pbs.twimg.com/ext_tw_video_thumb/1700686072949485568/pu/img/RrMsXF4ZlQ-0fabv.jpg","","in","Lombok Barat-NTB","0","0","0","https://x.com/BasarnasMataram/status/1700686873834967313","1269628782303834112","BasarnasMataram"
"1705040789624225840","Fri Sep 22 02:06:17 +0000 2023","6","Rabu (20/09) Unit usaha Tempe Asli HB Pangkalan Bun binaan FKDB yang dikelola oleh Bapak Tatan Rustandi menerima kunjungan bulanan dari Petugas Pos UKK dari Puskesmas Madurejo. #posukk #puskesmas #pangkalanbun #health #kesehatanmasyarakat https://t.co/PqAN89Ofmt","1705040789624225840","https://pbs.twimg.com/ext_tw_video_thumb/1705040701204082688/pu/img/Qrhu0yI74FJjHHbo.jpg","","in","","0","0","3","https://x.com/FKDB_2005/status/1705040789624225840","1275925808268242945","FKDB_2005"
"1721545727271469386","Mon Nov 06 15:11:00 +0000 2023","1","Diduga kecewa karena tak dipinjamkan mobil ambulans warga di Lebak Banten gerebek puskesmas. Warga tersulut emosi usai pasien terlambat dievakuasi ke rumah sakit. BEL Selengkapnya: https://t.co/E7NY0v8fyb #SeputariNewsSiang #Viral #Lebak #Ambulans #Puskesmas https://t.co/6lPudFjZ0Z","1721545727271469386","https://pbs.twimg.com/media/F-QolzXbsAA4crH.jpg","","in","iNews Tower Jakarta","0","0","0","https://x.com/SeputariNews/status/1721545727271469386","375995332","SeputariNews"
"1626213536690229253","Thu Feb 16 13:34:55 +0000 2023","1","Anggota Dewan Paling Rajin Sambangi Kalianyar From: https://t.co/7OQo6ULQsI By: Ujang Sastra #sholikhah #kalianyar #tambora #BersamaKitaBahagia #puskesmaskalianyar #puskesmas https://t.co/djMJzbezZV","1626213536690229253","https://pbs.twimg.com/ext_tw_video_thumb/1626213382906085377/pu/img/TMUlW4GORde6Hqua.jpg","","in","Jakarta Barat, DKI Jakarta","0","0","1","https://x.com/Sholikhahpks/status/1626213536690229253","1011449204344942592","Sholikhahpks"
"1687312406131748865","Fri Aug 04 04:00:01 +0000 2023","1","Pemerintah kota Depok mengeluarkan kebijakan baru kenaikan tarif layanan kesehatan di puskesmas per 1 Agustus 2023. Kenaikan tersebut menuai pro kontra di lingkungan masyarakat. #RCTI #News #Berita #Depok #TarifLayanan #Puskesmas #ProKontra https://t.co/Z2nA3YkzWL","1687312406131748865","https://pbs.twimg.com/media/F2qGVy8aYAAArTB.jpg","","in","iNews Tower Jakarta","0","0","0","https://x.com/SeputariNews/status/1687312406131748865","375995332","SeputariNews"
"1623554694982545410","Thu Feb 09 05:29:38 +0000 2023","8","Tim gabungan #TNI-#Polri berhasil mengevakuasi 15 pekerja #Puskesmas yang disandra oleh KKB-OPM pimpinan Egianus Kogoya di distrik Paro Kabupaten Nduga Papua Pegunungan.. https://t.co/vVUh107h3g","1623554694982545410","","","in","","0","1","1","https://x.com/TitikTerangNews/status/1623554694982545410","1192389223313096704","TitikTerangNews"
