"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1426189333967491074","Fri Aug 13 14:30:09 +0000 2021","0","#tapaktilasproklamasi #AgustusKita #Aksi #SehatIndonesia #Hut76RI #munasprok https://t.co/mkZhRT5fSK","1426189333967491074","https://pbs.twimg.com/ext_tw_video_thumb/1426189026038480898/pu/img/Ze2_UlEz026zq0bD.jpg","","qme","","0","0","0","https://x.com/iboemon/status/1426189333967491074","154078881","iboemon"
"1626753689938714625","Sat Feb 18 01:21:17 +0000 2023","41","GARUDA DIDADA KITA 🇮🇩 PAKSI Pagi Yang Cerdas Menganalisa tentang : - BIDIK - SERGAP - TANGKAP. no debat . #SehatIndonesia🇮🇩 https://t.co/8g4AbMRdRy","1626753689938714625","https://pbs.twimg.com/ext_tw_video_thumb/1626753577594277889/pu/img/kmevLe9cEKGm7zyv.jpg","","in","  Gilingan, Solo ,  INDONESIA.","1","1","3","https://x.com/DWILAKS78722248/status/1626753689938714625","1390223269987381252","DWILAKS78722248"
"1633244352683319296","Tue Mar 07 23:12:52 +0000 2023","34","(((( SELAMAT PAGI INDONESIA 🇮🇩 )))) OPTIMIS INDONESIA MAJU Rawé² Rantas Malang² Puntung InsyaAllah . . Aamiin #SehatIndonesia 🇮🇩 https://t.co/2B7dd8oubO","1633244352683319296","https://pbs.twimg.com/ext_tw_video_thumb/1633244284161003522/pu/img/mpxduIdvlLbpt7lG.jpg","","in","  Gilingan, Solo ,  INDONESIA.","0","0","7","https://x.com/DWILAKS78722248/status/1633244352683319296","1390223269987381252","DWILAKS78722248"
"1631578795164696576","Fri Mar 03 08:54:32 +0000 2023","63","Alhamdulillah. . ... Terima kasih Pak Bas 🇮🇩 dalam tempo 5 bulan SUKSES Selesai Sudah Jembatan Gantung MANEMBONEMBO ... oleh Putra² Indinesia dengan Kontraktor Lokal. #SehatIndonesia 🇮🇩 https://t.co/NL2zIN4uGW","1631578795164696576","https://pbs.twimg.com/ext_tw_video_thumb/1631578686116986880/pu/img/C2ubVcLGd33D4wAQ.jpg","","in","  Gilingan, Solo ,  INDONESIA.","0","4","20","https://x.com/DWILAKS78722248/status/1631578795164696576","1390223269987381252","DWILAKS78722248"
"1071218256541704192","Sat Dec 08 01:41:49 +0000 2018","0","Senam Erobic Kreasi Rutin Sabtu Minggu pagi Di Rptra US 126 Kel. Batu Ampar #indonesiasehat #jantungsehat #Duniasehat #sehatindonesia #UNICEF #duniaolahraga #senamsehat https://t.co/9gOyMCGzqe","1071218256541704192","https://pbs.twimg.com/ext_tw_video_thumb/1071218155358310400/pu/img/Onv8gMAuvHwic-dG.jpg","","in","Jakarta Capital Region","0","0","0","https://x.com/126Rptra/status/1071218256541704192","1030059020831211520","126Rptra"
"1640297079556960260","Mon Mar 27 10:17:53 +0000 2023","0","Pas diminum saat hawa dingin #sehatkanindonesia #sehatitumudah #sehatt #sehatbersama #sehat2 #sehatsehatsehat #sehatindonesia #sehatluardalam #sehatitupilihan #sehatterus #herbal #sehattentrem #sehatitupenting #sehattanpaobat #sehatsehat #sehatideal #minumanherbal #sehatslalu https://t.co/0owBZmb8Lk","1640297079556960260","https://pbs.twimg.com/media/FsOBgAbaUAIi5_x.jpg","","in","","0","0","0","https://x.com/oesodominuman/status/1640297079556960260","1301768971088060418","oesodominuman"
"1172819281085550594","Sat Sep 14 10:28:01 +0000 2019","0","#2 #negatif #polahidupsehat #jagajantung #jantungsehat #kesehatanjantung #jagakesehatan #jagakesehatanyuk #sehat #sehatalami #sehatituaset #sehatideal #sehatselalu #healthytips #healthymind #indonesiasehat #sehatindonesia #composterprojectmerahputih https://t.co/5YFsLpR5UU","1172819281085550594","https://pbs.twimg.com/ext_tw_video_thumb/1172819239066951680/pu/img/txAAUQzTDfWDqYBr.jpg","","und","Jakarta-Pusat","0","0","0","https://x.com/melosky_83/status/1172819281085550594","1444580334","melosky_83"
"1421660504993402880","Sun Aug 01 02:34:12 +0000 2021","3","Sekali berkibar #merahputih akan terus berkibar Tanks @1802_kimmi #agustus2021 #indonesiatumbuh #indonesiasehat #sehatindonesia https://t.co/dZoob3sDiP","1421660504993402880","https://pbs.twimg.com/ext_tw_video_thumb/1421660315805044738/pu/img/AZPeJGrdYluoG84D.jpg","","in","Malang, Jawa Timur","0","1","1","https://x.com/agus_mn12/status/1421660504993402880","2553942204","agus_mn12"
"1640297787630981120","Mon Mar 27 10:20:42 +0000 2023","0","Jahe emprit oesodo teman setia sehat anda #sehatkanindonesia #sehatitumudah #bugar #sehatt #sehatbersama #sehat2 #sehatsehatsehat #sehatindonesia #sehatluardalam #sehatitupilihan #sehatterus #herbal #sehatitupenting #sehattanpaobat #sehatideal #minumanherbal #sehatbugar #sehats https://t.co/TiNDcdJ0YG","1640297787630981120","https://pbs.twimg.com/media/FsOCIg-akAQvGS9.jpg","","in","","0","0","0","https://x.com/oesodominuman/status/1640297787630981120","1301768971088060418","oesodominuman"
"1765190062537609399","Wed Mar 06 01:38:01 +0000 2024","13","Hanya Karena KEBUNGSUAN Yang INSTAN MENIMBULKAN KEKUSUTAN yang MENGGELIKAN dan MENJIJIKKAN. #SehatIndonesia https://t.co/Tn3oFjOSV5","1765190062537609399","https://pbs.twimg.com/ext_tw_video_thumb/1765188251550445568/pu/img/vb_tScwx5tiRSzlY.jpg","","in","Solo (Bekasi Timur), Indonesia","1","3","3","https://x.com/SETYAKI22965702/status/1765190062537609399","1322361095407902721","SETYAKI22965702"
"1071054204603486214","Fri Dec 07 14:49:56 +0000 2018","1","#hwi #healty #mrPro #WMP #ilav #cantikalami #bisnisHWI #naturalmakeup #nesv #nesvmurah #keputihan #calseabone #cmp #dtozym #T2T #primeskinlotion #primeskinscrub #primeskin #primeskinhwi #spirutin #frutablend #NuSmile #topHWI #sehatIndonesia #SurabayaMenduniaLagi https://t.co/bP7esefnwt","1071054204603486214","https://pbs.twimg.com/media/Dt0mGuHU0AA7Fwz.jpg","","qme","","0","0","0","https://x.com/Heru1411/status/1071054204603486214","1066144317448679424","Heru1411"
"1692037603774857261","Thu Aug 17 04:56:15 +0000 2023","14","DIRGAHAYU BANGSA DAN NEGARAKU🇮🇩 78 Tahun . Berhenti Sejenak Saat Lagu Kebangsaan Berkumandang. Lokasi Perempatan SARINAH Jakarta. #SehatIndonesia #DamaiBangsanya #MajuNegaranya 🇮🇩 1 https://t.co/a6PM6HNSo7","1692037603774857261","https://pbs.twimg.com/ext_tw_video_thumb/1692037513417027584/pu/img/QxccxuonjRHWr-Oe.jpg","","in","Solo (Bekasi Timur), Indonesia","0","2","8","https://x.com/SETYAKI22965702/status/1692037603774857261","1322361095407902721","SETYAKI22965702"
"1690482825685086208","Sat Aug 12 21:58:07 +0000 2023","0","EDUPHARM#1 Pasti dari temen banyak kan yang pernah mengalami luka bakar? Untuk itu yukk simak penjelasannya dalam video ini tentang tips untuk mengatasi luka bakar ringan #EDUPHARM #DIVISIINFOKOM #JMKIFARMASIUAD #SALAMSEHAT #SALAMSEHATSALAMJMKI #SEHATINDONESIA https://t.co/c9jQZTe0HO","1690482825685086208","https://pbs.twimg.com/ext_tw_video_thumb/1690482747813634048/pu/img/uT7zM-vd4eWrokIA.jpg","","in","yogyakarta","0","0","0","https://x.com/JMKIFarmasiUAD/status/1690482825685086208","851077424","JMKIFarmasiUAD"
"1695262111163969636","Sat Aug 26 02:29:18 +0000 2023","0","EDUPHARM#2 Siapa si yang nggak tau penyakit maag? Apalagi buat mahasiswa sekaligus anak kos So simak tips dan saran untuk menghindari maag dalam video ini ya #EDUPHARM #DIVISIINFOKOM #JMKIFARMASIUAD #SALAMSEHAT #SALAMSEHATSALAMJMKI #SEHATINDONESIA https://t.co/c8mO6Q43p0","1695262111163969636","https://pbs.twimg.com/ext_tw_video_thumb/1695262047389503488/pu/img/ZV4VauVeYWID57-_.jpg","","in","yogyakarta","0","0","0","https://x.com/JMKIFarmasiUAD/status/1695262111163969636","851077424","JMKIFarmasiUAD"
"1566724658564513793","Mon Sep 05 09:47:21 +0000 2022","1","Gantian naiknya #bbmnaik #masyarakat #indinesia #gadis #sehatindonesia #pertamina #FT https://t.co/0U0IOKMdCd","1566724658564513793","https://pbs.twimg.com/media/Fb4fxOsUUAEvAcS.jpg","","in","","0","0","0","https://x.com/Lajuneji23/status/1566724658564513793","1563381796774952960","Lajuneji23"
"1311558555086983168","Thu Oct 01 06:48:21 +0000 2020","2","Let s Join Us #MentalHealthForAll #WorldMentalHealthDay #worldmentalhealthday2020 #indonesia #sehatindonesia https://t.co/tpGTrdqCER","1311558555086983168","https://pbs.twimg.com/media/EjOXjM0UcAItxts.jpg","","en","Bandung, Jawa Barat","0","0","0","https://x.com/egha_pewe/status/1311558555086983168","1101716939544510464","egha_pewe"
