"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1397459882354245632","Wed May 26 07:49:34 +0000 2021","18258","Pergi ke internet nak daftar vaksin; Registration tutup! Ini ke sistem RM70juta yg rakyat bayar? #Vaksin #COVID19 https://t.co/BjcA7kdXWo","1397459882354245632","https://pbs.twimg.com/ext_tw_video_thumb/1397459821830443009/pu/img/jVFFvtCj0Hrsv1jf.jpg","","in","Malaysia","1206","350","16808","https://x.com/SyedSaddiq/status/1397459882354245632","467075090","SyedSaddiq"
"1739872548614275168","Wed Dec 27 04:55:15 +0000 2023","37","SENARAI PUSAT PEMBERIAN VAKSIN (PPV) SECARA WALK-IN DI SEKITAR KUALA LUMPUR &amp; PUTRAJAYA #vaksin #vaccine #boosterdose #VaccineWork #LindungDiriLindungSemua #KitaJagaKita #COVID19 #coronavirus #KLCeria #CMSWPKL https://t.co/7sB3P9MW7M","1739872548614275168","https://pbs.twimg.com/media/GCVE3CJaEAAFKHF.jpg","","in","Kuala Lumpur City","1","1","33","https://x.com/JaPenWPKL/status/1739872548614275168","4130169438","JaPenWPKL"
"1730864040111493469","Sat Dec 02 08:18:39 +0000 2023","1","#vaksin #NewsAz #AyTol #baku #aztvresmi #atv| #Azerbaijan #ARB #TRT #AfRam #India #Aztv Siz də Aytən Səfərova ilə razılaşırsınızmı ? https://t.co/qYfeguBtEY","1730864040111493469","https://pbs.twimg.com/ext_tw_video_thumb/1730863047583895552/pu/img/MUP9n66MXdgVtWd-.jpg","","tr","Azərbaycan ","0","0","0","https://x.com/xeberazbaku/status/1730864040111493469","1689402506697134080","xeberazbaku"
"1786070521534418951","Thu May 02 16:29:30 +0000 2024","44","Yakin belum ada efek Vaksin ? #vaksin #AstraZeneca https://t.co/bB80uoz7Xs","1786070521534418951","https://pbs.twimg.com/ext_tw_video_thumb/1786070314209980416/pu/img/iFnDo1mrKjJKZkGD.jpg","","in","Jakarta, Indonesia","2","5","34","https://x.com/Human_B/status/1786070521534418951","71504904","Human_B"
"1798551967213724014","Thu Jun 06 03:06:19 +0000 2024","0","TEMBUS DONG MASUK APLIKASI (selama ada tiket vaksin ya) . yang butuh tembak vaksin satset atau gestun paylater bisa yapp di aku yang tiket vaksinnya open bisa masuk aplikasi yaa vaksinnya #zonauang️ #zonajajan #vaksin https://t.co/hSlvxfcfG2","1798551967213724014","https://pbs.twimg.com/media/GPW9eQ1a4AAJiln.jpg","","in","Bali - Surabaya","0","0","0","https://x.com/chanxvksn/status/1798551967213724014","2859097799","chanxvksn"
"1785903529884004861","Thu May 02 05:25:56 +0000 2024","651","Untuk pertama kalinya perusahaan farmasi AstraZeneca mengakui dalam dokumen pengadilan bahwa vaksin Covid-19 buatannya dapat menyebabkan efek samping yang jarang terjadi. #tempodotco #tempo #vaksin #AstraZeneca #efeksamping #kesehatan https://t.co/Ywx0g5RH4z","1785903529884004861","https://pbs.twimg.com/media/GMjNjmZaoAASH3U.jpg","","in","Indonesia","104","82","399","https://x.com/tempodotco/status/1785903529884004861","18129942","tempodotco"
"1798535883408445705","Thu Jun 06 02:02:24 +0000 2024","0","TEMBUS DONG MASUK APLIKASI (selama ada tiket vaksin ya) . yang butuh tembak vaksin satset atau gestun paylater bisa yapp di aku yang tiket vaksinnya open bisa masuk aplikasi yaa vaksinnya #zonauang️ #zonajajan #vaksin #zonaBA #zonajualan https://t.co/GbcCNm4wM6","1798535883408445705","https://pbs.twimg.com/media/GPWu1upb0AEPGn9.jpg","","in","Bali - Surabaya","0","0","1","https://x.com/chanxvksn/status/1798535883408445705","2859097799","chanxvksn"
"1798536644360126888","Thu Jun 06 02:05:25 +0000 2024","0","Yuk yang mau vaksin 50k perdosis -tembus satu sehat -permanen -pembayaran di akhir -proses satset cuss tunggu apalagi langsung aja ke wa https://t.co/lgNg99Dcnl #zonauang #Zonajajan #vaksin https://t.co/mkRiyPnzBi","1798536644360126888","https://pbs.twimg.com/media/GPWvimqaEAA-Zxp.jpg","","in","","0","0","0","https://x.com/jokivaksin50rb/status/1798536644360126888","1191367142811136005","jokivaksin50rb"
"1795682206305980637","Wed May 29 05:02:54 +0000 2024","2","GPW14 bentuk masa depan kesihatan . #jurnal #jurnalmalaysia #news #current #1st #no1 #local #global #video #viral #trending #fyp #audionews #gpw14 #who #menterikesihtan #sdg #covid19 #vaksin https://t.co/fcDj0jCxzM","1795682206305980637","https://pbs.twimg.com/ext_tw_video_thumb/1795682151704453120/pu/img/zo-opXLjfwIZb3bC.jpg","","in","Putrajaya","0","0","0","https://x.com/jurnal_malaysia/status/1795682206305980637","310688172","jurnal_malaysia"
"1736923559984009368","Tue Dec 19 01:37:01 +0000 2023","11","Ketua Pengarah Kesihatan memaklumkan jumlah vaksin yang kita ada masih mencukupi dan boleh diambil bila-bila masa secara temujanji atau walkin #ketuapengarahkesihatan #dghealth #vaksin #dospenggalak #walkin #fypmalaysia #temujanji #demirakyat #demirakyatchannel #CapCut https://t.co/toICgGI2mq","1736923559984009368","https://pbs.twimg.com/ext_tw_video_thumb/1736923501553217536/pu/img/eq5pQq04oeJkBBHS.jpg","","in","","0","0","11","https://x.com/DemiRakyatCH/status/1736923559984009368","1347354772089696258","DemiRakyatCH"
